資料比對,分機號碼,線組編號,使用單位,裝機位置,分機種類,副機數量,G450 Port,對應DID號碼,拆遷記錄,備註
●,2526,230E1 - 14,Y566,調質線TPM電氣室二樓,甲機,1,015V510,0,,
●,2949,230E1 - 141,Y515,冷軋軋輥工場二股磨床電氣室,乙機,1,016V112,0,92.02.06拆副；97.03.28遷；98.03.13更乙,
●,2950,230E1 - 143,Y515,冷軋軋輥工場二股二樓,甲機,2,016V113,0,,
●,2725,230E1 - 145,Y565,ANN機械維護辦公室,甲機,2,015V613,0,,
●,2859,230E1 - 146,Y512,電解清洗線（HCD）控制室,甲機,1,015V715,0,,
●,6657,230E1 - 148,Y515,18165磨床用、辦公室1F備品倉庫,乙機,1,008V321,0,,
●,3907,230E1 - 150,Y515,冷軋軋輥工場軋輥二股辦公室,甲機,2,016V320,0,92.02.06新裝並增副2,
●,3794,230E1 - 152,Y531,HN控制室、ANN控制室,乙機,2,016V308,0,98.03.13增副,105.11.01更無線話機*1
●,6842,230E1 - 153,Y531,Y531 BA控制室,甲機,1,016V712,0,95.09.07增副,Moden
●,2830,230E1 - 154,Y566,封盒退火場ANN維護間,甲機,1,016V220,0,,
●,3591,230E1 - 161,C345,M7庫接收室,甲機,0,016V211,0,,
●,2791,230E1 - 163,Y420,精整工場（Y42）,甲機,1,015V701,0,,主任
●,5735,230E1 - 164,Y421,Y421第二調質OS402操作室,甲機,1,012V601,0,113.09.03增1無線副,
●,3140,230E1 - 166,Y465,NO.2 TNRL機械維護室,乙機,0,016V121,0,,
●,6045,230E1 - 168,Y421,CGS控制室、#2 TNRL訓練教室,乙機,1,016V515,0,94.03.28增副,
●,5448,230E1 - 175,Y466,NO.2 TNRL調質重捲線電氣室,乙機,0,016V411,0,96.01.02裝,
●,2893,230E1 - 177,Y420,精整工場（Y42）副主任辦公室,甲機,0,015V724,0,,副主任
●,3271,230E1 - 178,Y421,現場第二調質重捲、電腦室(2F),甲機,2,016V201,0,,
●,3120,230E1 - 179,Y421,第二調質重捲線辦公室,甲機,2,016V118,0,,
●,3143,230E1 - 187,T272,第二調質重捲、檢驗室,甲機,0,016V122,0,,
●,5118,230E1 - 201,Y5S,Y5辦公大樓3樓副組長辦公室,甲機,0,018V316,0,104.03.24增甲,
●,5239,230E1 - 203,Y5S1,安衛辦公室/105室,乙機,2,016V404,0,98.07.09新裝；1010220遷,於99.12.28自2F遷1F
●,2669,230E1 - 204,Y5S,三樓303室辦公室組長辦公室,甲機,0,015V604,0,1010222遷,
●,5761,230E1 - 205,Y5S,Y5S作業規定組,甲機,1,016V504,0,100.02.08新裝；1000427增2副,
●,2874,230E1 - 206,H24,Y5辦公大樓1F-104,甲機,0,015V720,0,1030116申遷；991216增1副；1140219拆1副,
●,5728,230E1 - 207                       ,Y5A2,Y5辦公室三樓副廠長辦公室(裝於303室),甲機,0,016V503,8051042,1010208新裝；1010222遷,
●,2723,230E1 - 208,H243,Y5辦公大樓1F 104室,甲機,1,015V708,0,103.03.07申1甲1副；92.01.28增副,
●,2714,230E1 - 210,Y5S1,Y5辦公室二樓作業規劃課辦公室,甲機,2,015V609,0,,
●,6713,230E1 - 211,Y5S1,Y5辦公大樓2樓,甲機,0,009V101,0,,
●,2703,230E1 - 214,Y5 A2,Y5辦公室三樓副廠長辦公室,甲機,1,015V608                    ,8051171,015V722 015V608,副廠長(8051171)
●,6169,230E1 - 216,Y5S1,Y5辦公室三樓,甲機,0,016V605,8051098,,傳真機 8051098
●,3303,230E1 - 218,Y5S1,Y5二樓電腦室、一樓辦公室,甲機,1,016V204,0,,
●,2780,230E1 - 219,Y5S1,Y5辦公室二樓作業規劃課課長辦公室,甲機,2,015V622,0,,
●,6168,230E1 - 220,Y5,Y5辦公室三樓廠長辦公室,甲機,2,016V604,8051275,104.07.31增1副；,廠長(8051275)
●,5405,230E1 - 222,Y5S2,Y5辦公室一 樓作業技術課辦公室,甲機,2,016V408,0,95.08.22裝；98.06.15異動,
●,2658,230E1 - 223,Y5S2,Y5辦公室二樓作業技術課課長辦公室,甲機,0,015V602,0,98.06.15異動,
●,2948,230E1 - 226,Y5S2,Y5辦公室二樓作業技術課辦公室,甲機,1,016V111,0,98.06.15異動,
●,2781,230E1 - 227,Y5S1,Y5辦公室三樓,甲機,1,015V623,0,92.09.03增副,
●,6170,230E1 - 228,Y50,Y5副座辦公室3樓,甲機,1,016V606,0,106.02.08遷移+1副；90.12.11拆副；100.02.15遷,
●,2692,230E1 - 23,Y565,TPM電氣室二樓師級辦公室,甲機,1,015V605,0,,
●,5762,230E1 - 232                      ,Y5S,Y5S作業規定組,甲機,1,016V505  ,0,100.02.08新裝；1000427增2副,
●,5763,230E1 - 238                      ,Y5S,Y5S作業規定組,甲機,2,016V506 ,0,100.02.08新裝；1000427增2副,
●,5610,230E1 - 240,Y5S1,Y5總部大樓105室,甲機,2,016V423,0,1010220新裝,
●,3440,230E1 - 241,Y5S2,Y5大樓作業技術課辦公室,甲機,1,015V322,0,103.12.02增甲+1副；,
●,3441,230E1 - 242,Y5S2,Y5大樓作業技術課辦公室,甲機,1,015V323,0,103.12.02增甲+1副；,
●,3649,230E1 - 253,Y566,第一退火塗覆線1ACL電氣室辦公室,甲機,1,016V215,0,91.07.29新裝,
●,3663,230E1 - 254,Y6P6,#1ACL產線電腦室,甲機,2,016V216,0,91.07.29新裝,無線電話機
●,5146,230E1 - 255,Y6P6,RCM電腦室,乙機,0,021V518,0,103.11.28申乙；,Y6P6申請
●,3730,230E1 - 26,Y565,TPM電氣室二樓課長辦公室,甲機,1,016V224,0,91.10.31遷,
●,3837,230E1 - 261,Y537,第一退火塗覆線（1ACL）主控制室,甲機,1,016V310,0,91.11.28新裝,
●,3478,230E1 - 262,T292,電磁鋼片檢驗站,甲機,0,016V208,0,91.08.27拆；91.11.28新裝,
●,3857,230E1 - 263,Y537,第一退火塗覆線（1ACL）包裝線控制室,乙機,0,016V313,0,91.11.28新裝,
●,3845,230E1 - 266,Y537,第一退火塗覆線（1ACL）塗覆控制室,甲機,0,016V312,0,91.11.28新裝,
●,6571,230E1 - 267,Y537,Y537課長辦公室,甲機,0,024V205,0,,
●,3615,230E1 - 271,Y566,往復式冷軋機RCM電氣室二樓,甲機,2,016V213,0,92.06.06遷並增1副；99.08.16再增1副,
●,2722,230E1 - 28                     ,Y566,調質線TPM電氣室二樓,甲機,0,015V612,0,91.11.12增副,
●,3876,230E1 - 283,Y537,第一電磁鋼片往復式（RCM）化驗室,乙機,1,016V315,0,91.11.28新裝；92.07.18增副,
●,3893,230E1 - 284,Y537,RCM主控制室,甲機,0,016V316,0,92.02.11更甲,
●,5772,230E1 - 286,Y565,Y565RCM現場辦公室,甲機,0,016V507,0,1000713新裝,
●,3681,230E1 - 293,Y565,PPM電氣室二樓（1ACL）,甲機,0,016V217,0,91.09.16新裝；91.10.31遷；92.11.12增副,
●,2626,230E1 - 294,Y566,退火精整電氣檢修課課長辦公室,甲機,2,015V524,0,,
●,6845,230E1 - 295,Y566,調質線TPM電氣室二樓,甲機,0,016V713,0,93.02.17遷,
●,5595,230E1 - 31,Y532,ASIS鋼帶表面自動檢舉系統-TLL,甲機,0,016V420,8051595,98.04.10新裝,DID：8051595
●,2761,230E1 - 33,Y565,TPM及CRF現場機械維辦公室,甲機,2,015V619,0,105.12.07增副；,含事務機共3設備
●,3843,230E1 - 34,Y537,第一電磁鋼片課二樓會議室,甲機,1,016V311,0,92.03.06遷；92.06.17增副；94.01.17增副,
●,6046,230E1 - 35,C346,#37庫接收室、會議室,甲機,2,016V516,0,96.07.11增副,
●,3734,230E1 - 43,Y532,CRF現場控制室-張力整平線（TLL）現場操作室,甲機,2,016V302,0,105.02.26增1副；,
●,5596,230E1 - 45,Y532,調質精整線二樓辦公室,甲機,0,016V421,8051596,98.04.10新裝,DID：8051596
●,3537,230E1 - 47,Y537,第一電磁鋼片課二樓辦公室,甲機,0,016V209,0,91.06.28新裝；92.06.17增副,
●,6677,230E1 - 53,Y532,調質精整線二樓辦公室(課長用),甲機,1,008V515,0,,
●,2937,230E1 - 54,Y532,一副機在116現場控制室-重捲線（RL）現場操作室,甲機,3,020V406,0,1030715遷移1副機；,
●,2926,230E1 - 55,Y532,Y53二樓辦公室,甲機,0,020V410,0,,
●,2837,230E1 - 57,Y532,調質精整線二樓辦公室,甲機,1,015V709,0,111.05.30拆1機改(6677),
●,6863,230E1 - 58,Y53,封盒退火精整工場主任辦公室（38庫2F）,甲機,2,016V715,0,92.04.03增副；92.12.30增副,傳真機
●,3378,230E1 - 59,Y531,封盒退火課課長辦公室（38庫2F）,甲機,2,016V205,0,,
●,6076,230E1 - 60,Y532,切條線（STL）、剪切線（SL）現場操作室,乙機,1,016V519,0,,
●,2660,"230E1 - 61
230E1 - 108",Y562,第一酸洗冷軋線（TCM）酸洗區電氣室,甲機,2,015V603,0,,
●,5253,230E1 - 80,Y515,製程工件加工場,甲機,1,016V405,0,94.08.24新裝及副機,
●,2558,230E1 - 69,Y511,增NO1.ARP再生工場控制室,甲機,0,015V515,0,112.08.24拆1副,
●,2693,230E1 - 7,Y566,調質線TPM電氣維護室,甲機,1,015V606,0,91.07.29更甲,
●,6053,230E1 - 70,Y561,Y561三樓三課輪班辦公室、機械維護輪班休息室,甲機,1,017V102,0,,
,6738,230E1 - 75,Y511,NO.1、2ARP控制室,甲機,0,009V313,0,,配線架已跳線
●,5622,230E1 - 76,Y511,第三冷軋NO4ARP辦公大樓,甲機,0,016V501,0,98.07.31新裝,
●,3732,230E1 - 77,Y512,酸洗線入料控制室,甲機,1,016V301,0,,
●,5621,230E1 - 78,Y511,第三冷軋NO4ARP辦公大樓,甲機,1,016V424,0,98.07.31新裝,
●,5605,230E1 - 79,Y511,第三冷軋NO4ARP辦公大樓,甲機,1,016V422,0,98.07.31新裝；1011129增1副,
●,3865,230E1 - 2,Y565,輪班（B）值班室,甲機,0,016V314,0,91.09.16增副；91.10.31遷,
●,2983,230E1 - 81,Y512,第一酸洗線（TCM）裁邊機控制室,甲機,1,016V117,0,,
●,3787,230E1 - 82,Y511,NO:4  ARP一樓氧化鐵出貨站,甲機,0,016V307,0,97.07.31遷；1000615遷,
●,6929,230E1 - 84,Y561,酸洗冷軋機械檢修課工具室,乙機,0,016V721,0,,
●,6456,230E1 - 88,Y511,氧化鐵倉庫,甲機,0,016V701,0,97.07.31遷,傳真機
●,3727,230E1 - 89,Y511,Y511#4ARP--4樓辦公室,甲機,1,016V222,0,1010608遷,
●,3192,230E1 - 91                         ,W563,第一冷軋水場新辦公室,甲機,2,016V124,0,95.07.07遷,
●,6554,230E1 - 93,W563,#1冷軋水場2F臨時辦公室,乙機,0,024V107,0,,
●,6930,230E1 - 95,W563,W563課長室,甲機,0,006V408,0,,課、股長
●,6328,230E1-212,Y5S2,Y5大樓1F 101室,甲機,1,019V808,,,
,6766,230E1-213,Y5S2,Y5大樓1樓105室,甲機,0,011V713,0,113.05.29新增,
,6767,230E1-217,Y5S2,Y5大樓1樓105室/2樓東側辦公室,甲機,1,011V714,0,113.05.29新增;113.07.01增1副,
,5767,2F - 1,A5,一行二樓201辦公室,甲機,0,001V508,0,1000628新裝,
,5469,2F - 11,N0,一行二樓204辦公室(基金會),甲機,0,001V423,0,95.11.23裝,集團基金會
,5468,2F - 13,N0,一行二樓204辦公室(基金會),甲機,0,001V422,0,95.11.23裝,集團基金會
,5467,2F - 15,N0,一行二樓204辦公室(基金會),甲機,0,001V421,0,95.11.23裝,集團基金會
,2340,2F - 2,A5,一行二樓203會議室,甲機,0,001V220,0,103.01.02增甲;92.08.01遷；98.09.07更甲,
,6596,2F - 21,A150,一行203室,甲機,0,024V404,0,,
,2505,2F - 22,A22,一行2樓209室,甲機,0,022V615,0,,
,3777,2F - 3,A5,一行二樓201辦公室,甲機,0,001V412,0,100.01.11新裝；1020424更為可撥行動,可撥行動
,2158,2F - 4,A22,一行2F 209室,甲機,0,002V602,0,,
,2188,"2F - 51
2F - 53",A2,一行二樓213,甲機,0,001V103,8051188,91.09.03增副；98.06.26遷,1030919-更數位話機-DID：8051188
,2105,2F - 65,A22,一行二樓209,甲機,0,001V209,8051150,97.06.24拆副/102.12.3移機,
,2000,2F - 67,A22,一行209室,甲機,0,002V103,8051000,,
,5511,2F - 69,A22,一行二樓209/黃加勝用與0988568868同振鈴,甲機,0,001V424,8051511,黃加勝使用；併用手機0988-568868/102.12.3移機,
,5580,2F - 7,A5,一行二樓201辦公室,甲機,0,001V502,0,100.01.11新裝,
,3545,2F - 71,A22,一行二樓209室,甲機,1,001V405,8051545,102.12.3移機,
,2108,2F - 73,A22,一行二樓209,甲機,0,001V212,8051081,93.04.09新裝/102.12.3移機,
,2192,2F - 75,A22,W6二樓西側,甲機,0,001V217,8051192,95.07.14增副；95.12.11拆副/102.12.3移機,
,2557,2F - 77,A22,一行209室,甲機,0,003V114,8051557,95.07.14拆副/102.12.3移機,
,2107,2F - 81,A22,一行二樓210,甲機,0,001V211,8051159,102.12.3移機,DID：8051159
,3882,2F - 85,A22,一行217會議室/會議電話使用/可撥長途,甲機,0,001V414,0,100.03.14新裝 102.12.04移至一行217會議室,
,2118,2F - 87,A201,一行二樓,甲機,1,001V214,8051180,,
,5121,2F - 9,A5,一行二樓202辦公室,甲機,0,001V418,8051142,黃群；100.01.20增設DID,DID:8051142-10401232-設定未應答轉接公務門號
,2106,2F - 97,A22,一行二樓209,甲機,1,001V210,8051106,95.10.30增副/102.12.3移機,
●,3941,330E - 1,F322,第二資訊大樓一樓、二樓,甲機,1,019V303,0,,
●,6589,330E - 101,F33,F33第一資訊大樓306室,甲機,0,024V223,0,,
●,5490,330E - 102,F322,第一資訊大樓2F會議室219+204,乙機,2,012V309,0,105.08.26增2副機；105.04.08申乙；,
●,6640,330E - 103,F33,第一資訊大樓機房,乙機,0,017V207,0,,
●,5757,330E - 11,中利凱瑞,重慶中利凱瑞汽車部件(IPVPN-2M),甲機,0,023V818,0,105.09.05-F3申請,
●,6654,330E - 112,F3,第一資訊大樓3F大辦公室,甲機,0,008V318,0,,
●,2997,330E - 113,F312,第一資訊大樓三樓309室,甲機,2,018V612,0,1011106拆DID,
●,6718,330E - 115,F34,1號EDP  3樓辦公室,甲機,0,009V119,0,,
●,6719,330E - 117,F34,F3第一資訊大樓2F,甲機,0,009V201,0,,
●,5751,330E - 12,新眾,VOIP用/CSC→中國常州新眾精密合金鍛材,甲機,0,019V513,0,100.02.01新裝,VOIP/F3陳俊良申請
●,6356,"330E - 13
330E - 110",F322,"#2EDP大樓102R
#1EDP大樓",甲機,1,020V214,0,,
●,5753,330E - 14,新眾,VOIP用/CSC→中國常州新眾精密合金鍛材,甲機,0,019V515,0,100.02.01新裝,VOIP/F3陳俊良申請
●,6357,"330E - 15
330E - 111",F322,"#2EDP大樓102R
#1EDP大樓",甲機,1,020V122,0,,
●,5752,330E - 16,新眾,VOIP用/CSC→中國常州新眾精密合金鍛材,甲機,0,019V514,0,100.02.01新裝,VOIP/F3陳俊良申請
●,5696,330E - 18,馬來西亞,,甲機,0,013V313,0,103.10.31,VoIP
●,5954,330E - 19,印度,VOIP/F3陳俊良申請,甲機,0,019V517,0,1010508新裝,
●,3942,"330E - 2
330E - 206",F322,第二資訊大樓二樓、四樓機房、一資四樓,甲機,2,019V304,0,98.04.03異動,無線話機*2
●,5955,330E - 20,印度,VOIP/F3陳俊良申請,甲機,0,019V520,0,1010508新裝,
●,2965,330E - 201,F315,第一資訊大樓三樓 306室,甲機,1,018V610,0,,
●,2128,330E - 202,F344,第一資訊大樓二樓210室,甲機,0,018V511,0,,
●,5922,330E - 203,C340,八舍-4F東側樓梯旁--,乙機,0,019V603,0,103.03.12遷移；1000808新裝,供給中冠公司使用
●,2673,330E - 205,F342,第一資訊大樓二樓210室,甲機,1,018V524,0,76.4.22增；92.08.01增副2,
●,3808,330E - 207,F315,第一資訊大樓三樓309室,甲機,0,013V223,0,,
●,3951,330E - 208,F312,第一資訊大樓三樓309室,甲機,0,024V304,0,,
●,2661,330E - 209,F33,第一資訊大樓二樓組長室206室,甲機,0,018V520,0,,
●,5956,330E - 21,印度,VOIP/F3陳俊良申請,甲機,0,019V604,0,1010508新裝,
●,6529,330E - 210,F322,第一資訊大樓210R,乙機,1,012V206,0,,
●,5907,330E - 211,F312,第一資訊大樓三樓309室,甲機,0,019V522,0,103.02.05重申1甲；1001019新裝,
●,2385,330E - 212,F344,第一資訊大樓二樓210室,甲機,2,018V512,0,,
●,3052,330E - 213,F322,第一資訊大樓四樓403室,乙機,1,018V614,0,,
●,3167,330E - 214,F342,第一資訊大樓二樓210室,甲機,2,018V618,0,93.08.09新裝；95.09.22增副1,
●,3955,330E - 215,F321,第一資訊大樓二樓116室,甲機,0,002V301,0,,
●,3223,330E - 216,F344,第一資訊大樓二樓210室,甲機,1,018V620,0,93.08.09新裝,
●,3229,330E - 217,F344,第一資訊大樓二樓210室,甲機,1,018V621,0,93.08.09新裝；1011106拆DID,
●,5957,330E - 22,印度,VOIP/F3陳俊良申請,甲機,0,019V618,0,1010508新裝,
●,2045,330E - 220,F3,第一資訊大樓一樓,乙機,2,018V502,0,92.01.07新裝；92.03.17更甲,
